processing_time,queue_time,machine_downtime,resource_utilization,defect_rate,batch_size,customer_satisfaction,system_efficiency
31.07,7.45,0.68,75.68,2.1,308,88.87,75.23
29.44,8.26,0.73,87.89,1.49,152,81.11,89.59
28.9,11.77,0.87,67.74,2.1,104,76.78,82.6
33.07,15.01,1.94,85.66,2.73,306,96.18,90.04
33.79,11.18,0.81,70.39,2.22,150,94.44,78.61
27.35,6.41,2.64,95.44,2.48,247,77.02,87.06
27.12,11.33,1.04,95.83,1.88,350,76.02,81.0
28.62,13.59,0.14,71.89,2.37,275,91.45,86.01
18.49,8.17,3.06,69.2,2.14,480,79.45,88.83
22.42,9.6,0.67,76.45,1.52,286,79.19,87.67
36.83,10.04,1.13,69.62,2.16,75,74.57,85.35
38.22,7.65,2.31,86.9,1.5,170,77.92,78.11
28.75,11.94,0.81,93.04,1.68,447,82.83,88.65
32.88,9.64,0.12,86.92,2.09,231,91.99,90.16
31.56,11.26,0.94,92.97,2.15,248,80.09,79.79
45.39,7.34,5.78,75.88,1.41,351,79.86,80.52
35.6,8.69,2.05,66.25,2.53,304,78.55,90.37
29.36,12.17,2.23,89.52,2.29,171,84.35,83.96
25.22,8.88,2.0,74.42,1.65,80,75.42,80.65
21.97,15.18,0.44,86.85,1.23,364,84.57,86.36
31.02,8.8,1.08,70.83,1.93,334,91.13,81.81
26.22,10.67,2.78,63.25,1.78,155,70.89,85.81
22.89,12.8,0.21,99.7,2.06,273,70.29,82.93
26.77,5.74,0.65,66.25,1.82,322,72.25,83.36
24.59,4.72,0.65,99.54,1.0,447,86.07,90.55
38.44,5.42,1.13,99.09,1.81,281,95.63,72.66
34.41,13.79,7.86,91.75,1.85,469,70.15,87.77
29.96,8.34,0.14,86.38,2.32,305,98.1,89.73
37.4,17.67,1.46,83.11,1.65,491,73.19,81.89
30.39,8.31,0.4,94.64,2.84,73,95.26,89.69
25.69,10.55,7.06,71.58,1.04,158,84.49,80.2
37.62,14.63,0.24,78.71,2.66,240,89.78,81.7
32.69,16.02,1.03,84.78,1.89,396,85.32,81.12
24.81,16.18,2.68,76.45,2.43,74,84.31,89.76
29.05,13.63,2.44,77.1,2.04,236,95.05,76.28
25.62,13.07,1.1,73.21,2.57,337,92.68,93.2
23.09,11.78,0.85,82.57,1.81,165,84.5,83.48
34.63,12.34,1.01,94.02,1.45,387,73.35,88.07
39.55,8.35,0.61,68.06,2.71,415,73.46,87.64
23.01,7.55,0.46,97.38,1.94,451,94.05,85.76
32.81,9.99,1.32,87.56,2.11,86,85.88,82.0
26.75,9.49,0.63,92.93,2.62,331,84.45,91.21
27.56,8.64,0.68,82.25,1.48,186,90.42,82.43
27.04,12.09,2.14,91.18,2.3,276,95.77,81.34
25.68,12.87,6.92,60.65,1.71,369,88.87,89.39
30.24,10.27,1.85,92.74,1.93,377,92.89,85.73
25.85,14.43,0.16,61.61,2.04,453,92.96,91.79
31.35,6.57,0.16,95.6,1.25,231,80.69,84.69
29.75,9.42,6.05,99.68,1.61,411,78.22,81.75
28.81,7.85,0.71,71.76,2.68,135,94.03,86.37
25.46,4.4,0.19,68.41,2.44,463,81.32,82.76
27.12,9.75,1.83,90.61,1.97,102,97.1,81.89
33.78,9.63,1.95,70.12,2.12,397,72.09,89.16
32.5,14.54,2.09,94.62,1.85,404,71.75,94.16
25.11,11.89,0.62,64.11,2.68,284,97.81,83.77
30.5,6.93,0.03,65.04,1.9,496,89.45,80.13
33.76,15.56,6.71,99.17,2.12,316,81.39,84.23
21.65,13.66,0.58,86.95,2.57,336,92.65,87.57
32.72,11.75,2.25,93.88,1.61,482,90.17,86.29
26.69,9.32,2.45,72.97,2.78,149,85.94,90.97
32.85,7.12,1.88,87.06,1.23,136,72.97,88.33
26.18,8.88,0.75,83.77,2.81,452,94.37,79.48
20.98,13.27,0.63,84.13,1.81,445,95.98,82.53
21.86,15.65,1.82,87.3,1.88,64,75.17,78.1
30.24,14.63,4.02,83.01,1.05,464,95.52,90.72
31.3,8.53,5.86,77.16,1.77,476,96.34,75.04
25.48,6.64,0.22,71.04,1.48,150,86.48,78.58
33.19,10.42,0.34,90.74,1.7,214,89.69,82.44
21.69,4.69,5.79,69.05,1.93,78,81.47,87.82
29.67,10.97,2.67,87.69,2.48,163,78.45,82.39
23.94,9.56,4.29,69.33,2.1,156,91.66,83.17
26.74,8.6,0.45,85.01,2.15,459,95.86,83.27
30.24,5.22,1.77,89.88,1.45,413,89.62,85.86
25.7,11.54,2.42,68.75,1.56,179,85.35,78.9
28.08,8.4,2.28,62.4,2.9,133,74.77,80.26
35.03,6.49,1.05,65.24,1.63,320,71.6,93.4
27.12,1.38,0.03,84.24,2.83,293,83.37,87.01
34.18,9.92,1.75,93.98,1.88,437,71.48,88.8
24.35,15.32,0.58,61.8,2.0,263,87.08,85.29
32.65,14.98,1.2,89.37,2.54,355,81.48,84.3
37.21,8.63,6.32,73.65,2.64,215,92.72,87.29
17.64,8.19,1.02,79.14,1.94,328,79.17,88.64
26.02,11.41,3.66,97.15,1.81,108,87.79,89.23
32.89,7.0,0.42,73.28,1.97,139,86.13,84.37
28.98,10.91,2.23,78.61,2.17,420,70.14,89.78
31.86,12.3,7.55,60.55,2.45,380,72.17,72.67
26.98,13.68,0.21,63.26,2.0,461,78.71,89.46
30.43,9.7,0.02,70.34,2.31,243,96.47,82.87
29.22,9.39,1.14,61.11,2.82,172,74.41,87.77
35.84,7.37,0.19,85.26,2.19,185,91.33,81.75
31.27,7.52,2.76,77.06,2.16,462,99.2,78.37
31.69,9.32,4.92,81.93,1.24,188,93.72,86.7
27.94,11.1,1.14,66.99,0.68,278,77.29,77.49
27.56,12.74,0.6,71.84,2.19,323,97.25,83.0
27.84,7.59,1.14,86.55,1.95,488,72.79,80.94
31.97,14.48,2.57,98.61,1.74,99,84.04,84.12
27.9,9.19,0.02,62.02,2.12,447,96.63,88.99
31.45,9.94,1.78,95.62,1.97,167,89.24,82.55
40.38,7.76,1.9,83.08,2.56,251,82.41,86.57
34.36,2.73,2.03,82.56,2.04,442,78.78,88.7
28.37,12.65,0.55,80.01,1.63,444,81.25,81.96
36.01,12.21,2.5,62.78,2.5,240,85.27,82.04
27.96,9.16,0.19,63.6,1.89,413,79.57,91.85
19.81,10.2,0.44,84.04,2.26,372,99.07,84.6
24.96,11.55,4.2,73.64,1.76,230,97.99,87.55
20.65,5.31,2.68,96.69,1.68,472,96.12,87.51
28.24,8.41,0.03,76.26,2.04,127,82.65,79.01
30.09,12.38,0.57,65.73,2.01,489,90.74,81.2
38.38,6.24,0.48,88.59,2.24,461,97.08,86.88
31.63,10.88,0.63,71.73,1.87,124,95.51,74.66
28.9,5.93,0.57,81.02,1.08,344,82.43,83.94
34.15,11.4,0.13,87.91,1.78,330,73.37,80.67
18.94,9.89,1.23,96.01,2.4,70,72.27,90.55
31.18,5.15,2.64,91.69,1.85,443,87.31,86.73
33.85,13.49,1.87,87.05,1.88,220,89.28,90.96
22.61,7.8,2.23,87.19,2.49,64,95.5,84.8
35.72,7.57,0.17,97.84,1.64,260,78.78,84.43
31.69,10.6,6.05,71.83,1.23,97,75.02,83.48
27.92,13.45,3.65,60.04,1.92,135,81.37,82.48
33.16,6.95,3.27,70.88,1.76,198,80.61,98.42
41.35,10.19,3.46,68.72,1.52,237,73.97,89.04
30.91,11.29,5.4,86.47,1.91,421,90.17,79.67
31.24,12.08,1.57,85.35,2.25,355,85.26,98.2
27.7,10.53,0.45,83.74,2.0,200,91.63,82.98
25.75,8.9,1.92,60.65,2.15,190,80.58,86.61
34.15,7.52,2.72,89.15,2.91,118,79.77,89.7
25.72,10.26,2.68,72.94,1.83,309,84.18,77.31
30.36,6.78,1.47,86.6,2.14,383,96.32,80.86
27.61,1.24,0.14,82.26,1.75,58,71.21,93.24
32.39,11.31,0.93,73.71,1.58,170,94.14,83.88
31.67,12.71,5.07,65.38,1.71,420,81.07,89.99
35.19,2.91,1.76,63.78,1.76,468,95.64,82.73
27.45,6.97,1.55,93.26,2.18,150,94.07,84.52
28.65,11.86,0.63,96.74,3.17,198,80.46,93.93
25.11,16.17,0.92,85.99,1.64,491,90.82,87.19
27.78,10.06,4.51,64.14,1.79,195,74.79,83.28
31.89,7.82,2.2,76.08,1.97,402,96.89,81.58
33.78,9.45,3.1,89.16,2.2,292,82.13,82.04
25.39,14.12,1.21,91.19,2.13,290,83.67,91.21
34.35,8.06,1.99,64.73,2.64,386,91.17,88.83
36.78,7.6,0.57,60.0,0.79,92,94.63,79.26
32.07,8.55,2.44,88.49,0.81,144,77.09,85.44
39.38,7.14,1.12,74.26,1.75,275,89.84,84.67
26.13,10.37,1.17,70.18,2.55,55,81.76,86.58
23.78,14.87,2.1,60.52,1.22,263,81.06,81.98
21.11,10.97,5.51,81.61,0.5,255,90.7,90.49
37.48,9.24,0.13,94.05,2.29,116,81.62,84.99
33.27,9.12,3.48,98.31,2.12,445,80.38,86.87
29.72,5.31,0.69,82.63,1.45,149,95.08,81.08
31.4,12.65,1.17,80.58,1.51,61,73.04,81.33
24.37,9.77,0.04,63.4,1.52,286,90.28,98.29
42.23,9.46,0.72,81.95,2.06,371,77.46,94.0
30.65,19.58,1.4,75.2,1.69,307,70.46,84.65
30.55,10.9,0.12,84.29,2.25,448,75.0,92.67
33.63,7.74,1.35,75.55,0.57,456,88.2,91.06
32.41,8.72,5.24,69.61,1.57,462,91.27,81.87
31.12,13.45,0.22,63.8,1.44,386,70.63,81.38
26.05,10.34,2.89,72.6,1.87,184,71.09,88.34
32.36,5.69,1.05,63.87,1.73,271,97.08,86.3
39.41,12.76,2.13,67.08,2.4,205,72.2,82.99
36.73,8.0,0.6,99.49,1.07,191,96.83,88.61
37.97,15.62,0.35,77.76,2.02,477,76.84,77.79
27.44,13.24,0.35,81.27,2.28,207,92.2,85.58
25.05,8.66,0.15,94.94,2.93,465,79.29,78.81
29.37,13.84,0.41,99.82,1.76,375,95.76,78.97
30.28,10.2,2.18,83.31,2.16,420,91.01,81.47
35.47,12.56,4.27,92.5,1.1,393,82.05,86.82
21.54,11.45,3.37,73.08,0.8,311,72.29,81.62
37.65,7.46,2.31,72.23,2.42,332,91.98,78.91
29.21,8.07,0.23,76.11,2.0,387,88.51,87.39
27.87,13.09,0.68,86.9,2.59,393,70.09,92.46
24.94,9.0,0.74,87.29,1.31,278,70.28,88.19
21.73,8.79,0.58,72.61,2.26,425,94.26,94.01
34.12,7.13,1.45,65.33,2.93,329,77.78,92.05
30.37,11.27,1.53,85.3,2.21,407,89.08,82.56
23.55,16.19,0.88,65.13,2.14,339,83.63,88.16
23.52,6.8,0.87,83.14,2.0,217,95.9,84.54
28.32,10.07,3.53,87.74,1.21,96,97.51,90.31
38.35,14.24,3.11,88.02,2.68,252,99.9,84.54
28.7,9.76,0.74,90.14,1.69,263,74.61,81.06
22.48,11.36,4.9,94.91,2.25,295,95.89,91.87
28.77,6.81,6.11,80.0,1.22,73,77.98,86.59
28.64,11.28,0.79,89.21,1.41,370,87.72,81.68
16.52,9.44,0.88,84.77,2.72,323,85.17,82.51
29.73,12.96,1.41,67.47,1.83,93,70.54,81.65
28.85,13.56,5.66,61.03,2.73,381,97.98,79.99
33.48,17.77,4.18,71.38,1.96,362,72.35,82.61
39.24,11.74,0.22,77.72,1.08,412,90.65,86.87
35.63,10.98,1.0,84.68,2.45,205,93.55,85.32
28.66,10.58,1.61,94.0,1.71,429,93.86,82.81
24.47,8.94,1.4,67.85,2.35,248,74.06,92.48
42.87,11.02,0.43,65.02,2.01,456,83.43,74.95
30.3,9.11,3.92,98.54,1.23,211,94.88,86.53
30.07,10.51,2.26,64.32,2.08,444,79.08,84.29
29.88,13.95,3.64,79.14,3.1,283,84.03,80.15
30.99,6.98,3.91,83.42,2.25,212,78.18,86.82
29.28,13.42,2.76,81.65,1.97,165,83.91,83.9
27.13,13.95,1.16,63.44,2.54,142,96.64,91.24
27.27,9.65,1.89,62.28,2.11,91,83.65,89.34
29.84,3.63,0.35,64.22,2.1,333,86.68,94.53
27.28,8.18,2.24,83.42,1.45,428,82.12,82.58
26.44,13.89,0.4,81.77,2.12,259,83.8,91.98
30.53,9.93,2.37,69.35,2.52,255,70.46,79.17
28.73,7.0,0.52,85.51,1.58,269,78.51,84.45
37.52,8.49,0.25,92.8,2.71,329,83.1,82.67
16.75,12.52,0.36,61.66,1.95,185,89.01,88.01
35.46,11.64,0.0,79.93,1.56,155,83.5,87.89
36.23,9.28,2.54,87.57,2.5,167,80.13,80.5
19.63,8.9,2.64,70.09,1.86,286,81.64,88.29
28.29,8.82,1.45,72.31,2.38,358,77.27,83.1
28.14,7.23,0.35,84.55,1.85,437,97.73,80.92
22.96,14.85,0.17,95.92,1.97,149,85.65,84.94
26.11,9.03,0.04,92.4,2.25,310,70.4,77.62
24.45,13.65,0.36,83.33,2.15,354,70.58,89.66
38.76,14.56,4.43,89.21,1.0,403,99.19,84.72
34.68,12.99,0.55,74.59,1.44,335,76.64,84.83
36.36,8.71,0.87,85.64,2.46,377,94.17,84.56
33.61,11.21,0.22,78.65,1.93,152,71.75,93.23
24.35,9.93,0.5,67.6,1.74,112,97.63,92.59
27.38,7.29,1.46,88.07,1.32,224,96.23,91.75
32.45,10.97,1.87,82.26,1.46,331,87.13,84.57
23.89,6.46,0.56,74.34,0.99,490,70.27,79.42
33.56,13.56,0.12,96.45,1.95,342,77.73,84.92
28.8,8.61,0.99,60.84,1.7,275,82.2,86.57
28.13,10.6,0.53,72.63,1.52,56,83.8,89.06
33.55,10.85,0.5,62.28,1.97,176,78.93,86.56
32.22,9.22,6.43,90.66,2.18,473,70.99,79.87
28.2,11.76,1.92,88.08,3.05,141,87.7,82.32
35.8,8.58,1.63,73.25,1.24,472,85.72,81.87
24.59,12.61,1.07,87.03,2.58,239,78.49,87.7
33.08,5.96,1.12,75.84,2.49,408,71.14,87.82
32.97,10.38,1.56,90.25,1.61,102,99.84,88.47
28.45,15.82,2.38,78.17,2.1,291,84.46,86.51
31.63,7.0,2.42,76.49,1.77,181,92.68,74.7
23.74,7.97,0.38,97.39,2.09,413,83.57,76.37
34.62,11.54,1.39,70.04,2.75,161,71.3,84.3
29.08,10.54,1.06,64.82,2.3,458,79.29,85.49
27.39,11.05,4.09,83.38,2.25,56,79.6,91.27
35.25,11.47,2.0,98.77,1.78,279,95.15,85.39
26.48,11.9,1.52,75.11,1.26,205,89.63,80.12
22.96,13.33,0.25,62.48,1.9,246,78.26,88.31
22.22,11.23,1.86,73.57,2.6,372,99.03,84.91
33.03,9.28,0.25,80.24,1.24,413,79.65,82.99
23.6,12.02,0.82,66.48,1.47,272,99.95,76.93
38.77,15.7,0.31,86.32,2.06,416,99.88,85.43
19.59,9.6,2.36,99.91,1.51,299,75.74,86.14
38.48,7.08,0.46,78.07,1.6,453,79.38,80.02
31.06,13.32,0.99,74.19,1.79,132,84.58,88.72
29.52,9.64,4.52,76.03,1.32,289,89.92,88.27
27.28,3.48,0.46,64.61,1.51,429,85.84,85.24
32.0,12.54,1.42,95.33,2.35,444,99.08,85.06
29.81,8.39,1.09,76.59,1.35,409,91.72,89.73
35.52,9.73,0.04,75.49,1.2,372,76.36,86.84
30.57,11.0,3.15,86.39,1.68,312,73.15,81.49
30.75,10.57,0.14,77.68,2.37,456,90.65,84.01
28.18,12.13,1.29,85.93,1.9,238,74.75,87.78
29.72,8.69,1.65,62.46,1.77,415,93.63,74.84
31.54,11.54,1.98,92.55,2.02,339,79.33,80.34
21.45,9.22,2.33,97.62,1.13,411,79.81,88.41
23.26,12.22,0.58,85.95,2.25,452,70.32,91.04
33.72,11.85,0.02,98.18,2.19,107,91.03,90.11
30.85,7.19,2.57,66.06,1.8,58,73.4,89.47
29.08,13.26,1.53,79.1,2.5,353,93.19,85.65
30.09,8.39,3.62,84.07,1.44,164,84.76,79.86
31.74,12.42,3.45,83.27,2.56,259,93.53,84.02
27.3,11.1,3.71,76.06,2.08,90,87.52,75.03
26.11,15.51,1.33,73.52,1.83,353,72.47,91.5
30.98,9.33,0.81,65.07,1.99,222,92.97,80.91
25.11,8.95,3.14,75.67,1.95,283,72.09,82.33
32.04,9.94,1.2,66.51,2.61,330,84.36,90.29
21.49,9.09,0.41,89.37,1.46,421,75.17,76.93
35.15,12.4,3.86,68.35,1.62,127,92.57,79.05
32.36,5.15,4.28,62.34,2.52,157,97.35,86.34
31.28,6.84,1.26,82.09,1.7,330,86.62,87.6
34.91,6.8,0.16,83.81,2.45,452,85.81,84.64
38.33,12.85,0.98,94.88,2.85,88,92.92,84.8
35.07,15.13,3.25,83.08,1.8,168,70.15,91.34
20.8,9.69,4.64,73.82,2.34,384,97.53,88.18
23.6,9.49,0.45,92.12,1.42,385,75.92,87.51
26.88,10.21,0.14,81.61,2.38,76,99.52,88.88
30.13,13.49,4.2,63.17,2.1,153,92.09,83.5
32.59,7.22,0.99,82.63,2.24,123,93.23,95.87
26.37,10.72,1.56,96.32,1.68,240,89.69,73.46
30.93,12.93,6.89,75.85,1.17,373,84.15,92.29
26.22,11.5,0.14,71.85,2.25,196,87.15,89.51
26.94,10.57,2.09,65.74,0.97,304,71.39,86.24
22.97,13.0,0.15,66.06,1.84,333,88.72,85.4
25.38,1.89,0.94,77.31,2.47,262,88.78,84.22
23.24,12.03,3.26,83.83,2.1,172,96.74,90.52
25.12,8.04,1.14,63.22,2.97,255,85.17,84.8
35.27,4.51,11.74,97.58,2.51,466,72.31,81.36
25.25,11.53,1.64,90.21,1.67,289,79.19,89.51
43.16,14.12,0.77,83.46,2.01,443,89.67,92.92
32.47,9.59,0.5,93.14,1.98,388,77.18,75.36
30.92,12.86,0.86,63.21,1.21,335,78.42,96.79
25.71,14.84,0.93,79.07,1.53,71,94.61,79.82
33.5,13.94,0.14,85.2,1.72,308,87.53,80.2
27.12,14.92,0.92,93.15,0.98,406,85.26,78.78
30.61,12.23,1.25,91.34,2.02,154,79.55,85.0
42.8,10.23,2.57,71.08,1.88,481,91.93,78.6
29.52,5.19,2.14,97.64,1.16,307,78.63,79.21
35.75,9.26,2.47,64.97,2.2,253,92.11,81.56
26.48,7.47,0.02,95.01,2.36,359,72.1,85.69
29.83,16.51,0.49,98.84,2.11,311,95.94,86.17
38.85,9.47,2.17,67.09,1.84,156,84.99,91.21
26.87,10.37,1.32,88.88,2.3,300,83.16,91.09
39.06,11.65,0.01,61.61,2.34,473,88.33,90.12
33.54,10.13,3.26,76.22,2.15,270,88.73,83.69
27.19,15.09,2.96,80.65,1.59,428,73.96,75.79
33.16,8.13,1.59,83.23,2.14,271,92.69,75.68
34.86,10.58,0.14,97.44,2.6,307,78.28,90.09
33.11,7.77,2.91,86.89,1.7,250,97.15,89.22
22.15,6.04,1.75,79.25,3.05,416,94.54,81.92
26.36,8.16,3.05,92.39,1.74,307,80.39,77.8
28.76,9.89,2.79,98.02,2.02,398,94.23,79.76
29.63,8.71,3.25,60.88,1.66,274,80.69,85.87
33.1,7.92,1.46,99.3,2.11,251,73.03,85.88
30.89,5.78,0.3,63.45,1.13,275,98.86,90.21
23.32,9.75,2.22,92.58,1.73,285,89.58,82.75
31.9,5.49,1.94,71.21,1.45,232,83.68,83.78
33.05,12.28,2.71,65.29,2.07,249,81.93,90.63
32.8,10.25,0.37,77.59,2.5,406,79.74,74.37
35.4,5.63,0.43,85.76,2.32,295,99.44,86.59
34.17,9.07,4.42,75.24,0.81,493,74.04,83.33
32.3,7.74,2.77,62.18,3.02,402,79.44,88.56
29.65,10.96,4.78,83.98,2.15,160,84.56,87.56
21.7,14.02,2.84,96.1,1.61,55,84.34,81.52
32.15,4.37,1.82,75.33,2.08,285,84.14,82.46
31.04,10.35,2.12,68.65,2.09,176,75.27,73.49
31.36,9.52,4.4,77.7,1.67,153,74.35,88.75
23.62,12.01,1.73,61.93,2.1,286,77.64,86.2
24.59,10.64,2.0,92.82,1.7,452,97.44,91.99
35.27,7.74,0.34,93.05,1.8,204,73.39,83.0
29.8,9.04,1.28,83.52,1.66,306,92.72,89.57
33.41,7.61,2.52,74.12,1.28,284,92.73,79.65
30.14,13.23,0.63,91.99,2.07,338,94.29,71.48
30.15,10.06,0.45,82.19,2.29,89,96.6,84.53
34.69,15.7,0.75,93.04,2.26,337,77.89,82.17
27.42,9.82,0.55,85.26,2.41,246,76.74,79.75
30.48,7.87,0.48,91.38,2.16,322,83.97,89.49
27.69,5.46,1.11,83.94,1.73,431,77.95,91.04
27.83,4.59,4.77,76.57,2.42,313,92.03,85.53
28.45,5.25,1.41,98.32,1.32,106,89.08,84.09
31.11,10.8,0.42,81.64,1.55,347,96.25,85.31
27.61,11.53,0.16,84.2,1.52,147,72.48,81.74
36.28,5.26,2.38,68.82,2.54,186,97.45,87.81
25.53,12.69,0.97,85.03,2.47,425,78.8,77.3
29.07,8.55,3.45,82.86,2.24,136,84.72,79.63
27.8,10.44,2.15,67.39,2.54,468,83.16,81.04
37.23,14.84,3.18,62.38,1.56,291,92.81,87.71
30.98,12.69,0.63,84.17,2.17,248,82.61,83.49
35.16,9.19,2.36,90.55,1.94,486,98.31,91.8
22.57,7.33,0.61,80.94,2.42,359,97.08,89.02
31.34,3.54,5.6,69.07,1.94,133,96.16,80.99
34.45,7.84,2.02,86.66,1.81,291,72.14,88.17
30.41,9.37,0.78,63.2,2.27,330,95.63,82.96
35.33,7.04,0.63,77.67,2.44,372,93.45,87.37
27.41,9.61,0.42,66.53,1.67,301,73.11,89.26
37.05,10.23,2.37,67.38,1.97,239,73.22,90.57
41.49,9.33,0.49,68.09,1.47,488,73.03,86.01
28.19,8.05,1.81,75.47,0.75,479,70.34,93.0
27.77,10.51,0.61,62.05,2.1,201,86.46,87.21
37.27,11.33,2.17,75.91,2.3,351,99.2,85.68
37.9,6.73,3.37,80.47,2.13,327,83.16,83.49
27.39,14.23,3.01,79.33,1.03,188,86.22,81.84
27.9,9.7,2.86,75.31,1.82,225,99.04,87.1
28.59,10.06,0.42,93.57,0.89,57,77.66,85.5
23.28,12.12,0.19,65.81,2.68,344,95.75,86.3
25.41,10.7,2.4,80.23,1.46,284,86.39,87.4
24.98,12.86,0.92,62.48,2.63,212,87.08,86.28
26.16,10.86,1.13,62.85,2.47,98,80.3,95.07
29.83,8.16,0.06,82.95,1.55,351,86.85,82.36
31.17,11.08,0.6,82.64,1.43,87,72.19,87.16
37.75,6.57,0.07,95.12,2.18,185,92.94,83.86
25.01,10.33,4.23,82.31,1.58,359,78.54,72.69
34.92,9.9,0.56,98.39,2.05,470,96.63,84.03
28.93,9.38,1.63,61.95,1.76,268,81.04,80.32
29.75,9.61,0.08,63.92,1.11,397,74.28,84.67
33.37,4.35,2.2,61.76,0.88,345,90.88,84.87
24.39,8.35,0.78,67.41,2.11,83,74.94,86.93
31.91,10.28,4.56,81.65,1.72,401,92.61,82.35
30.83,10.48,4.38,85.82,1.72,128,99.04,82.97
32.46,6.92,0.79,61.82,2.35,285,93.39,88.5
31.45,13.8,4.62,97.84,2.59,432,70.67,80.95
42.28,7.4,11.12,93.69,1.86,322,88.0,75.81
26.81,12.91,3.49,71.86,1.83,210,90.86,85.79
27.35,11.28,3.73,63.09,2.25,224,94.76,90.35
26.88,8.06,0.57,66.8,1.32,415,71.68,88.45
27.22,15.33,1.72,65.08,2.11,357,84.4,85.88
26.81,6.42,0.14,64.93,2.28,423,86.06,91.25
35.95,12.76,0.2,80.74,2.34,270,75.07,90.41
37.1,13.0,13.61,69.83,1.03,58,79.67,83.35
27.15,7.99,0.79,74.33,1.62,338,83.21,86.24
25.84,14.18,2.76,99.58,1.56,493,95.0,86.45
32.36,9.25,3.29,87.37,2.05,162,97.88,84.57
27.24,10.87,3.9,97.96,2.24,254,88.85,90.67
33.16,10.78,12.09,65.7,2.75,454,81.85,84.24
31.01,9.6,0.55,75.29,1.75,235,77.62,82.5
22.42,12.43,0.08,82.19,1.75,390,99.46,72.04
37.74,12.38,1.06,63.07,2.57,246,99.49,81.01
38.98,4.75,0.28,60.17,2.15,315,97.75,78.42
26.94,13.91,0.05,86.82,2.63,311,93.57,84.8
28.06,5.01,0.89,85.67,2.14,297,79.77,78.73
31.43,13.1,3.06,76.43,1.42,164,94.51,88.04
31.67,13.38,1.67,79.59,1.33,170,82.26,90.54
33.29,6.73,0.75,76.62,1.22,190,79.8,84.84
40.05,8.77,2.12,60.96,2.33,114,92.35,80.08
29.12,6.68,0.53,73.41,2.59,325,72.39,86.43
26.01,9.36,0.03,67.08,2.92,362,71.46,94.47
23.1,9.08,2.89,63.94,2.42,288,83.44,92.91
26.35,12.34,1.95,98.27,2.58,351,83.37,77.97
29.83,13.93,2.87,83.97,1.71,441,96.87,77.78
38.97,14.19,0.08,89.15,1.42,59,73.78,76.5
27.41,8.31,3.63,72.61,2.43,418,73.7,79.32
31.12,9.37,1.93,75.73,2.21,282,74.42,86.26
29.92,4.95,1.66,69.48,2.05,244,70.89,82.22
35.94,7.58,1.96,63.88,2.19,444,72.15,80.81
42.63,12.89,4.0,67.16,2.16,61,89.8,90.2
27.35,14.85,1.77,91.9,2.64,443,82.95,87.65
27.55,6.3,1.74,87.1,2.65,458,92.91,76.48
35.22,8.22,9.35,81.88,2.27,226,99.78,89.91
33.41,9.92,2.83,79.0,2.42,226,89.77,87.53
39.23,10.84,1.17,96.9,2.26,266,71.51,87.64
32.92,7.57,2.46,62.91,1.77,60,73.14,82.15
28.2,11.27,0.99,71.22,2.38,495,96.43,84.06
32.95,8.58,0.52,74.0,1.3,167,85.82,75.14
35.54,9.96,1.82,91.3,2.53,213,94.75,89.33
34.1,11.64,5.27,99.7,1.4,88,95.7,80.01
32.54,10.02,5.29,69.63,2.14,102,97.83,80.65
35.33,8.69,0.84,94.97,1.58,267,98.49,80.58
35.85,9.67,1.5,93.22,2.28,255,86.64,94.0
36.91,9.73,0.48,68.99,1.98,361,80.23,81.66
33.24,8.89,10.87,75.97,1.2,409,98.86,89.71
29.16,9.22,7.94,76.39,2.21,434,86.42,84.88
30.73,14.8,2.1,99.13,1.71,105,71.93,80.85
36.03,11.68,3.26,67.24,2.44,167,89.28,79.95
25.92,9.11,2.51,91.97,2.0,437,87.63,81.86
31.84,12.09,1.8,73.37,2.2,302,96.87,84.63
28.03,9.0,0.11,89.23,1.52,335,89.6,88.01
30.14,13.52,1.21,76.8,1.71,317,80.47,82.65
36.39,11.11,2.25,83.13,1.77,340,98.99,82.46
30.96,9.68,2.26,93.3,2.43,382,94.05,80.59
30.23,11.34,0.93,92.17,2.84,229,88.91,79.03
23.2,5.29,5.68,94.66,1.6,464,78.79,78.61
33.73,6.62,0.37,62.38,2.54,407,81.21,89.94
33.23,6.42,1.39,87.68,0.92,284,90.1,82.36
40.82,10.43,2.35,65.6,1.4,392,72.16,82.8
28.46,15.2,2.39,76.63,1.52,245,77.7,81.67
31.1,16.69,2.09,81.94,1.32,357,91.42,83.42
31.25,11.91,0.64,76.11,1.21,129,84.4,86.86
37.89,11.5,0.34,80.78,2.21,184,82.07,82.57
29.52,4.6,2.02,99.86,1.89,71,74.54,85.9
31.4,8.37,1.83,65.41,2.19,380,83.26,92.09
33.04,7.64,0.4,87.02,2.35,489,93.12,80.9
30.93,8.14,2.44,75.84,2.13,274,77.92,82.8
27.77,9.5,1.21,65.32,2.33,107,70.16,88.21
30.97,8.58,2.2,66.35,1.97,142,90.06,92.49
35.37,4.06,3.63,97.97,1.41,241,99.18,78.79
24.87,12.24,0.37,95.18,2.53,152,88.2,76.5
30.66,6.78,0.04,96.28,1.71,445,73.6,85.0
26.5,10.72,3.02,99.66,1.53,56,79.62,84.48
35.98,16.22,1.88,68.33,1.91,177,96.03,88.5
22.38,7.24,2.41,74.22,1.54,104,76.98,87.74
27.21,2.41,3.64,86.77,1.79,280,88.23,84.83
